ÁöÁ¡¸í,ÀÏ½Ã,¼ö¿Â(¡É),pH,DO(§·/L)_x,Chl-a (§·/§©),À¯ÇØ³²Á¶·ù ¼¼Æ÷¼ö (cells/§¢),Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),ÀÏ°­¼ö·®(mm),Æò±Õ Ç³¼Ó(m/s),Æò±Õ ÀÌ½½Á¡¿Âµµ(¡ÆC),Æò±Õ »ó´ë½Àµµ(%),Æò±Õ Áõ±â¾Ð(hPa),Æò±Õ ÇöÁö±â¾Ð(hPa),Æò±Õ ÇØ¸é±â¾Ð(hPa),ÇÕ°è ÀÏÁ¶½Ã°£(hr),ÇÕ°è ÀÏ»ç·®(MJ/m2),¼öÀ§(EL.m),DO(§·/L)_y,BOD(§·/L),COD(§·/L),Å¬·Î·ÎÇÊ a(§·/§©),TN(§·/L),TP(§·/L),TOC(§·/L),¼ö¼ÒÀÌ¿Â³óµµ,Àü±âÀüµµµµ(¥ìS/§¯),¿ëÁ¸ÃÑÁú¼Ò(§·/L),¾Ï¸ð´Ï¾Æ¼º Áú¼Ò(§·/L),Áú»ê¼º Áú¼Ò(§·/L),¿ëÁ¸ÃÑÀÎ(§·/L),ÀÎ»ê¿°ÀÎ(§·/L),SS(§·/L),À¯·®(§©/s)
½ÂÃÌº¸,2017-01-02,6.2,7.4,11.1,26.4,0.0,7.2,2.7,13.3,0.0,1.0,4.0,81.6,8.2,1014.7,1023.6,4.8,7.89,7.49,11.1,3.3,6.5,26.4,5.9,0.142,5.8,7.4,420.0,5.647,1.744,2.76,0.081,0.057,5.0,15.287
½ÂÃÌº¸,2017-01-09,8.3,6.6,12.7,43.8,0.0,5.1,1.6,8.7,0.0,1.9,-1.2,65.6,5.7,1009.6,1018.6,5.6,8.29,7.52,12.7,3.1,6.7,43.8,6.049,0.096,5.1,6.6,417.0,6.013,1.669,3.4610000000000003,0.033,0.012,6.9,10.394
½ÂÃÌº¸,2017-01-16,5.3,6.8,14.6,45.9,0.0,-0.6,-4.9,5.3,0.0,1.4,-12.0,48.5,2.6,1020.0,1029.3,9.1,12.41,7.5,14.6,4.3,7.9,45.9,5.962999999999999,0.106,5.6,6.8,404.0,5.598,1.416,3.415,0.022,0.0,14.4,12.311
½ÂÃÌº¸,2017-01-24,5.1,7.7,14.7,56.5,0.0,-2.0,-5.9,2.7,0.0,1.5,-7.7,65.8,3.4,1025.4,1034.8,8.4,12.77,7.5,14.7,4.8,7.7,56.5,6.268,0.115,6.1,7.7,426.0,6.051,1.693,3.5460000000000003,0.025,0.005,9.6,11.58
½ÂÃÌº¸,2017-01-31,5.7,6.5,12.4,41.8,0.0,-1.4,-6.1,5.5,0.0,1.6,-10.7,51.9,2.7,1019.1,1028.4,9.0,14.23,7.5,12.4,4.3,7.0,41.8,8.056000000000001,0.109,5.9,6.5,495.0,7.71,2.937,4.099,0.04,0.019,8.9,11.85
½ÂÃÌº¸,2017-02-06,6.3,7.7,11.5,31.4,0.0,1.7,-0.9,4.8,0.0,1.9,-6.5,55.0,3.8,1013.9,1023.0,9.2,14.84,7.51,11.5,4.9,8.8,31.4,9.113,0.217,7.2,7.7,464.0,8.543,4.349,3.469,0.073,0.043,9.8,12.698
½ÂÃÌº¸,2017-02-13,6.1,7.6,14.6,99.0,0.0,2.7,-3.7,8.6,0.0,1.3,-2.2,72.5,5.3,1022.2,1031.3,9.0,14.58,7.45,14.6,5.9,9.2,99.0,8.256,0.113,8.4,7.6,485.0,8.079,3.867,3.088,0.024,0.024,14.2,13.329
½ÂÃÌº¸,2017-02-20,8.3,6.3,15.3,73.1,0.0,3.4,-2.4,12.8,8.5,2.8,-2.2,68.6,5.9,1008.9,1017.9,6.3,13.66,7.24,15.3,6.3,9.8,73.1,8.713,0.162,8.7,6.3,538.0,7.7120000000000015,4.496,2.9760000000000004,0.029,0.006999999999999999,18.8,25.102
½ÂÃÌº¸,2017-02-27,7.4,7.1,13.7,73.7,0.0,5.1,-0.7,12.8,0.0,1.0,-4.9,51.8,4.3,1017.9,1026.9,10.5,17.95,6.57,13.7,5.0,8.5,73.7,4.6080000000000005,0.122,6.7,7.1,404.0,4.256,1.336,2.332,0.046,0.004,16.0,16.855
½ÂÃÌº¸,2017-03-06,9.9,7.7,13.6,77.6,0.0,3.3,0.0,6.6,0.0,2.6,-9.6,41.6,3.2,1008.5,1017.5,10.8,20.95,7.29,13.6,6.4,11.9,77.6,7.454,0.146,8.1,7.7,374.0,6.678,3.404,2.617,0.029,0.023,15.8,0.631
½ÂÃÌº¸,2017-03-13,10.2,7.8,16.0,53.1,0.0,8.6,4.6,15.2,0.0,1.8,-1.9,51.1,5.4,1009.1,1017.9,7.7,17.61,7.32,16.0,6.0,11.4,53.1,7.831,0.092,8.3,7.8,438.0,7.65,3.84,2.639,0.041,0.004,11.0,15.758
½ÂÃÌº¸,2017-03-20,11.9,6.8,14.0,96.8,0.0,8.7,5.7,13.1,7.3,1.5,3.3,72.1,7.9,1010.1,1019.0,0.0,4.94,5.49,14.0,6.7,12.6,96.8,9.845,0.14300000000000002,9.0,6.8,463.0,9.404,5.182,2.757,0.044,0.003,17.9,3.015
½ÂÃÌº¸,2017-03-27,12.4,7.7,15.6,177.9,0.0,7.5,4.4,12.2,3.2,1.4,2.5,74.3,7.4,1012.9,1021.8,7.4,17.08,7.18,15.6,7.9,13.7,177.9,7.939,0.103,9.7,7.7,437.0,7.8610000000000015,4.229,2.497,0.041,0.04,19.4,0.252
½ÂÃÌº¸,2017-04-03,13.5,7.5,15.4,60.3,0.0,11.8,3.6,21.3,0.0,1.2,-1.8,46.6,5.6,1015.4,1024.2,11.4,24.49,7.5,15.4,7.6,12.6,60.3,8.061,0.115,9.7,7.5,427.0,6.718,4.254,2.4330000000000003,0.045,0.003,12.8,8.597000000000001
½ÂÃÌº¸,2017-04-10,17.0,6.5,9.1,29.0,0.0,16.6,11.2,23.7,0.2,3.1,3.7,44.5,8.1,1001.4,1009.8,5.8,20.37,7.51,9.1,6.8,11.0,29.0,4.4460000000000015,0.184,8.3,6.5,324.0,3.732,1.903,1.4280000000000002,0.105,0.07,9.9,17.676
½ÂÃÌº¸,2017-04-17,18.0,6.4,9.9,27.3,0.0,16.0,12.0,19.0,10.7,1.5,14.2,90.4,16.4,992.8,1001.2,0.7,2.97,7.44,9.9,6.9,11.4,27.3,5.4060000000000015,0.134,8.1,6.4,370.0,5.114,2.65,1.732,0.077,0.042,8.6,16.514
½ÂÃÌº¸,2017-04-24,17.7,6.8,7.5,20.3,0.0,16.7,8.7,24.3,0.0,2.2,5.1,51.4,8.9,1010.8,1019.3,11.9,28.18,7.48,7.5,7.7,11.7,20.3,6.695,0.203,8.6,6.8,354.0,6.31,3.385,1.868,0.107,0.059000000000000004,8.4,10.862
½ÂÃÌº¸,2017-05-08,20.7,7.1,7.3,35.1,775.0,18.2,12.3,23.1,0.0,1.0,10.7,65.6,13.0,1006.6,1015.1,2.4,13.8,7.48,7.3,7.4,12.1,35.1,7.545,0.113,8.2,7.1,452.0,7.246,3.431,2.625,0.048,0.008,7.4,8.987
½ÂÃÌº¸,2017-05-15,20.5,7.1,7.2,27.6,0.0,16.7,11.0,23.3,0.0,1.5,7.2,58.6,10.3,1005.9,1014.4,12.8,28.15,7.48,7.2,7.1,11.8,27.6,7.207999999999998,0.224,8.3,7.1,439.0,7.034,4.001,1.769,0.159,0.12300000000000001,7.3,8.628
½ÂÃÌº¸,2017-05-22,22.1,7.5,9.0,38.4,0.0,22.9,15.4,30.1,0.0,1.4,12.7,55.3,14.7,1005.6,1013.9,11.5,27.25,7.47,9.0,4.1,13.1,38.4,8.187000000000001,0.1,9.2,7.5,448.0,7.84,3.802,2.616,0.039,0.013999999999999999,14.9,10.098
½ÂÃÌº¸,2017-05-29,22.9,7.1,10.8,39.5,0.0,24.3,16.7,33.0,0.0,1.1,12.7,51.1,14.7,1005.0,1013.3,12.5,28.0,7.52,10.8,4.9,13.2,39.5,6.8210000000000015,0.095,10.1,7.1,440.0,6.664,3.19,2.057,0.031,0.008,14.3,11.01
½ÂÃÌº¸,2017-06-05,23.4,7.1,9.1,44.3,525.0,23.1,16.3,30.8,0.0,1.9,8.0,40.5,10.9,1006.6,1014.9,8.9,26.17,7.58,9.1,6.3,13.7,44.3,3.736,0.119,10.1,7.1,344.0,3.549,1.14,1.289,0.041,0.017,12.9,14.114
½ÂÃÌº¸,2017-06-12,23.3,6.9,7.9,94.6,375.0,21.6,17.7,27.1,0.0,2.0,11.6,55.6,13.8,1005.6,1013.9,8.3,24.23,7.54,7.9,7.9,12.6,94.6,4.005,0.103,9.5,6.9,334.0,3.697,1.257,1.822,0.031,0.003,12.6,9.578
½ÂÃÌº¸,2017-06-19,24.4,7.5,10.6,38.4,4140.0,25.9,19.0,34.1,0.0,1.0,15.0,54.5,17.1,1001.2,1009.4,8.1,17.41,7.55,10.6,7.6,15.3,38.4,5.284,0.101,10.1,7.5,389.0,4.975,1.401,2.537,0.041,0.003,13.1,5.551
½ÂÃÌº¸,2017-06-26,25.4,6.7,4.4,43.9,12080.0,23.5,21.5,28.7,13.6,1.2,21.2,88.3,25.2,998.4,1006.7,1.1,10.94,7.64,4.4,5.8,14.6,43.9,5.176,0.099,11.3,6.7,338.0,4.993,2.312,1.679,0.042,0.0,16.0,63.749
½ÂÃÌº¸,2017-07-03,26.2,6.7,3.2,27.0,160.0,26.8,24.5,29.9,6.4,4.1,25.6,93.8,32.8,999.9,1008.0,4.6,17.37,7.54,3.2,4.5,11.8,27.0,5.885,0.26,9.4,6.7,380.0,5.727,3.637,1.306,0.209,0.182,8.4,18.728
½ÂÃÌº¸,2017-07-10,27.2,6.7,4.0,31.4,0.0,27.3,25.0,29.3,5.1,3.2,26.3,94.6,34.2,995.2,1003.3,0.1,6.7,7.52,4.0,4.8,9.5,31.4,2.986,0.18,7.9,6.7,270.0,2.719,0.986,1.158,0.108,0.087,10.6,27.249
½ÂÃÌº¸,2017-07-17,26.0,5.7,6.0,2.4,0.0,26.8,23.6,30.7,10.8,1.7,25.6,93.8,32.8,1004.9,1013.1,0.8,10.99,7.62,6.0,2.8,7.9,2.4,2.476,0.142,6.2,5.7,146.0,2.461,0.393,1.768,0.093,0.071,16.6,38.151
½ÂÃÌº¸,2017-07-24,29.2,6.4,5.3,21.1,600.0,30.0,27.3,34.4,0.0,1.8,27.3,86.6,36.2,995.4,1003.5,2.0,15.43,7.55,5.3,3.4,7.2,21.1,4.039,0.123,5.9,6.4,300.0,3.889,1.826,1.669,0.08199999999999999,0.064,5.6,13.108
½ÂÃÌº¸,2017-08-07,29.9,7.1,2.2,22.4,7060.0,30.1,26.1,35.0,0.0,1.2,25.1,76.9,31.9,992.0,1000.0,10.3,24.59,7.56,2.2,4.0,9.2,22.4,3.798,0.15,6.9,7.1,252.0,3.741,1.987,1.207,0.091,0.073,10.1,11.975
½ÂÃÌº¸,2017-08-14,27.9,6.5,2.5,11.2,3720.0,24.1,21.9,27.2,34.9,1.1,23.8,98.5,29.5,996.1,1004.3,0.0,7.08,7.67,2.5,3.6,8.7,11.2,5.377999999999999,0.142,6.6,6.5,347.0,5.374,3.847,1.053,0.113,0.10400000000000001,8.3,99.312
½ÂÃÌº¸,2017-08-21,26.5,6.4,2.2,9.6,0.0,25.4,23.8,29.7,89.1,1.5,25.0,98.0,31.7,1000.2,1008.4,1.1,9.32,7.57,2.2,4.7,9.6,9.6,4.71,0.277,7.9,6.4,250.0,4.617,2.908,0.976,0.17800000000000002,0.149,28.9,219.415
½ÂÃÌº¸,2017-08-28,25.7,6.4,6.1,12.3,0.0,26.1,21.0,29.8,0.0,1.8,24.0,89.1,30.1,1003.6,1011.8,2.9,11.81,7.64,6.1,3.0,7.6,12.3,3.089,0.153,5.7,6.4,197.0,2.894,0.7070000000000001,1.787,0.102,0.08900000000000001,7.3,48.494
½ÂÃÌº¸,2017-09-04,25.0,6.8,9.6,49.4,0.0,23.4,20.8,27.6,0.0,1.4,17.9,72.3,20.5,1006.4,1014.7,4.5,15.4,7.59,9.6,4.7,8.9,49.4,3.771,0.142,6.3,6.8,295.0,3.199,1.2990000000000002,1.793,0.055,0.027999999999999997,7.5,30.837
½ÂÃÌº¸,2017-09-12,22.2,6.7,6.1,5.0,0.0,22.9,18.4,28.9,0.0,1.1,18.7,78.9,21.6,1006.0,1014.3,20.27,20.27,7.51,6.1,2.8,7.3,5.0,2.076,0.173,5.5,6.7,166.0,1.979,0.149,1.164,0.111,0.106,20.3,125.389
½ÂÃÌº¸,2017-09-18,23.4,7.0,8.4,70.0,8120.0,22.5,17.9,28.6,0.0,1.4,18.3,79.6,21.1,1001.3,1009.6,9.1,20.98,7.58,8.4,3.7,7.9,70.0,3.343,0.068,6.2,7.0,278.0,3.0860000000000003,1.102,1.493,0.025,0.013000000000000001,9.1,19.158
½ÂÃÌº¸,2017-09-25,24.0,7.5,9.5,31.0,4060.0,24.4,18.7,31.1,0.0,1.5,19.3,76.0,22.4,1005.7,1014.0,8.9,19.15,7.56,9.5,3.4,7.3,31.0,3.4610000000000003,0.035,5.5,7.5,350.0,3.431,0.8809999999999999,1.894,0.019,0.01,5.1,14.997
½ÂÃÌº¸,2017-10-10,21.4,6.8,5.4,61.9,0.0,23.2,18.5,28.4,0.0,0.8,20.9,88.0,24.7,1010.8,1019.1,7.6,15.1,7.61,5.4,5.0,7.9,61.9,4.132,0.12,6.1,6.8,283.0,4.091,1.82,1.54,0.067,0.048,8.4,27.01
½ÂÃÌº¸,2017-10-16,19.1,6.9,7.7,37.5,4300.0,16.9,14.8,20.6,0.0,2.1,12.4,75.6,14.5,1016.2,1024.8,1.5,7.18,7.59,7.7,4.7,7.5,37.5,5.542000000000002,0.125,6.1,6.9,396.0,4.753,2.157,2.13,0.07,0.05,10.2,18.64
½ÂÃÌº¸,2017-10-23,18.3,7.5,8.8,52.5,0.0,15.3,10.8,20.9,0.0,1.4,6.6,58.1,9.8,1008.5,1017.0,9.0,15.8,7.57,8.8,4.8,8.5,52.5,5.3020000000000005,0.06,6.3,7.5,414.0,5.189,1.902,2.347,0.031,0.02,9.4,12.92
½ÂÃÌº¸,2017-10-30,16.9,7.0,11.8,43.6,0.0,9.7,5.7,14.5,0.0,1.9,-1.2,47.9,5.6,1017.0,1025.9,10.1,17.35,7.56,11.8,5.2,9.1,43.6,5.688,0.06,8.0,7.0,459.0,5.626,1.823,2.955,0.026,0.006999999999999999,12.4,11.127
½ÂÃÌº¸,2017-11-06,14.4,6.8,11.8,26.9,0.0,10.7,3.2,19.2,0.0,1.0,5.9,75.1,9.4,1016.6,1025.4,9.4,15.19,7.57,11.8,4.5,7.9,26.9,5.351,0.058,5.9,6.8,474.0,5.3210000000000015,2.106,2.918,0.032,0.008,8.3,11.649
½ÂÃÌº¸,2017-11-13,13.9,8.0,9.9,24.2,0.0,10.1,4.0,15.2,0.0,0.6,3.5,66.1,7.9,1009.9,1018.7,2.8,9.31,7.21,9.9,4.6,8.4,24.2,6.183,0.07400000000000001,6.6,8.0,441.0,6.042000000000002,2.249,3.2230000000000003,0.033,0.004,12.2,21.488000000000003
½ÂÃÌº¸,2017-11-20,9.9,8.3,13.3,75.7,0.0,6.0,1.9,10.8,0.0,1.0,-2.7,54.6,5.0,1017.9,1026.9,8.3,12.57,5.47,13.3,5.8,11.6,75.7,6.484,0.099,8.7,8.3,476.0,6.02,2.0380000000000003,2.888,0.032,0.01,19.6,14.156
½ÂÃÌº¸,2017-11-27,10.2,7.2,14.1,65.4,0.0,6.0,0.3,12.5,0.0,1.0,0.4,68.6,6.3,1017.1,1026.1,8.8,11.37,5.5,14.1,6.1,11.4,65.4,7.341,0.116,8.4,7.2,527.0,7.341,2.523,3.693,0.039,0.01,14.7,15.429
½ÂÃÌº¸,2017-12-04,9.4,7.6,11.6,42.9,0.0,3.2,-1.5,6.7,0.3,1.8,-0.8,76.1,5.9,1014.0,1023.1,2.4,6.47,5.11,11.6,5.6,9.0,42.9,7.74,0.13,7.8,7.6,614.0,7.311,3.694,2.9810000000000003,0.033,0.005,23.3,21.285
½ÂÃÌº¸,2017-12-11,8.0,8.2,11.8,30.1,0.0,0.0,-2.2,4.2,0.0,2.0,-5.6,66.8,4.1,1014.8,1024.0,3.3,7.32,4.87,11.8,5.1,8.3,30.1,7.513,0.095,7.1,8.2,603.0,7.26,3.551,3.147,0.03,0.005,14.3,35.4
½ÂÃÌº¸,2017-12-18,5.8,8.4,13.1,19.1,0.0,1.6,-4.5,7.4,0.0,1.2,-2.4,75.5,5.3,1020.2,1029.4,4.8,8.72,4.68,13.1,4.6,8.3,19.1,8.02,0.103,6.9,8.4,576.0,7.599,4.175,2.756,0.025,0.009000000000000001,10.1,27.67
½ÂÃÌº¸,2017-12-26,6.4,7.0,12.4,70.8,0.0,1.1,-1.2,6.4,0.2,1.7,-4.4,68.4,4.6,1017.3,1026.5,6.4,7.85,4.53,12.4,6.2,11.1,70.8,5.365,0.141,8.7,7.0,443.0,5.059,2.608,2.029,0.024,0.006999999999999999,21.5,15.957
½ÂÃÌº¸,2018-01-02,6.9,7.2,13.8,24.9,0.0,2.2,-2.9,8.4,0.0,0.9,-3.4,67.0,4.8,1020.0,1029.2,4.9,8.54,6.03,13.8,5.8,10.7,24.9,8.828,0.099,7.2,7.2,541.0,8.462,5.464,2.281,0.036000000000000004,0.008,10.6,6.988
½ÂÃÌº¸,2018-01-08,6.3,7.0,13.0,42.1,0.0,3.6,2.2,5.4,2.1,1.2,2.3,91.9,7.3,1003.3,1012.3,0.0,3.53,5.99,13.0,5.9,10.8,42.1,9.144,0.075,7.5,7.0,534.0,8.865,5.513,2.465,0.029,0.017,8.5,6.63
½ÂÃÌº¸,2018-01-15,5.3,7.0,13.3,80.8,0.0,5.3,1.3,11.4,0.0,0.8,2.7,84.8,7.4,1015.7,1024.7,8.5,11.95,6.02,13.3,6.9,12.0,80.8,9.233,0.166,9.6,7.0,730.0,8.478,5.473,2.529,0.046,0.011000000000000001,14.0,12.4
½ÂÃÌº¸,2018-01-22,7.0,7.5,13.2,67.2,0.0,5.3,1.4,10.6,1.1,2.1,-2.1,60.1,5.3,1007.8,1016.7,3.7,8.93,5.99,13.2,7.0,12.5,67.2,8.062999999999999,0.159,9.8,7.5,499.0,7.576,5.009,2.138,0.034,0.015,17.6,3.25
½ÂÃÌº¸,2018-01-29,3.6,7.5,14.4,67.3,0.0,-3.9,-6.5,0.3,0.0,2.1,-11.1,58.5,2.6,1014.9,1024.2,8.1,13.17,5.98,14.4,6.4,12.1,67.3,9.149,0.126,8.7,7.5,501.0,7.957000000000002,5.303,2.185,0.036000000000000004,0.013000000000000001,14.1,7.18
½ÂÃÌº¸,2018-02-05,4.5,7.5,13.3,51.1,0.0,-5.6,-8.5,-1.7,0.2,1.8,-11.1,66.3,2.7,1017.9,1027.3,7.6,12.73,6.02,13.3,4.2,8.8,51.1,10.59,0.123,7.5,7.5,516.0,10.379,8.19,1.889,0.035,0.0,8.2,11.8
½ÂÃÌº¸,2018-02-13,6.1,7.6,13.6,64.5,0.0,1.3,-2.9,6.6,0.0,1.9,-6.4,59.6,3.8,1015.4,1024.6,9.9,17.94,6.04,13.6,6.2,11.6,64.5,11.062,0.155,8.4,7.6,544.0,11.018,8.269,1.709,0.056,0.021,14.8,10.49
½ÂÃÌº¸,2018-02-19,6.9,7.5,13.1,100.2,0.0,6.1,2.0,11.5,0.0,1.6,-7.8,36.4,3.4,1013.7,1022.7,2.6,10.62,6.03,13.1,7.9,14.0,100.2,10.64,0.255,10.7,7.5,571.0,10.489,8.241,1.4380000000000002,0.058,0.037000000000000005,21.4,7.92
½ÂÃÌº¸,2018-02-26,8.5,7.5,13.1,64.3,0.0,6.3,-1.8,15.7,0.0,1.0,-9.9,33.0,2.9,1015.8,1024.8,10.6,19.25,6.02,13.1,6.1,12.8,64.3,13.96,0.17600000000000002,9.0,7.5,561.0,12.999,10.925999999999998,1.872,0.066,0.034,12.1,10.49
½ÂÃÌº¸,2018-03-05,10.1,7.2,5.6,72.6,0.0,10.7,7.2,16.3,6.9,2.0,9.0,90.0,11.8,1005.0,1013.7,0.6,5.62,6.22,5.6,6.5,12.3,72.6,8.43,0.194,9.3,7.2,491.0,7.685,6.419,1.205,0.038,0.016,16.0,21.0
½ÂÃÌº¸,2018-03-12,10.6,7.6,11.1,67.8,0.0,10.1,2.8,19.3,0.0,1.6,1.2,62.1,6.8,1014.3,1023.1,10.5,20.43,6.05,11.1,6.2,11.6,67.8,6.4510000000000005,0.194,8.8,7.6,445.0,6.1,3.956,1.571,0.086,0.021,18.1,17.677
½ÂÃÌº¸,2018-03-19,12.3,7.2,6.8,6.8,0.0,11.8,8.6,14.6,15.6,3.0,11.2,96.5,13.5,1003.5,1012.2,0.0,3.61,6.07,6.8,6.1,11.6,6.8,5.312,0.289,9.0,7.2,228.0,4.779,2.414,1.598,0.117,0.071,44.9,91.543
½ÂÃÌº¸,2018-03-26,13.8,7.3,7.7,20.4,0.0,12.9,7.0,21.6,0.0,1.1,7.6,74.0,10.4,1013.8,1022.5,8.6,21.15,4.32,7.7,5.3,8.7,20.4,7.931,0.118,7.5,7.3,380.0,7.632999999999999,5.05,1.744,0.055,0.027000000000000003,22.0,22.848000000000006
